tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS021,1997-05-10,R32,Robyn Mawdsley,Chin Bee Khoo,AUS,MAS,,,6-4,6-4,,,,110279,W-C40-AUS-03A-1997d,1997,Robyn Mawdsley,Chin Bee Khoo,AUS,MAS,,,,Robyn Mawdsley,Chin Bee Khoo,2,"6-4,6-4",,1997-05-10,,Caboolture 4 10K,,,,,,,110279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS020,1997-05-10,R32,Lisa Mcshea,Suvimol Duangchan,AUS,THA,3.0,,6-2,6-3,,,130333,,W-C40-AUS-03A-1997d,1997,Lisa Mcshea,Suvimol Duangchan,AUS,THA,3.0,,,Lisa Mcshea,Suvimol Duangchan,2,"6-2,6-3",,1997-05-10,,Caboolture 4 10K,,,,,130333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS016,1997-05-10,R32,Shinobu Asagoe,Kyung Yee Chae,JPN,KOR,8.0,,6-4,6-3,,,10209,30445,W-C40-AUS-03A-1997d,1997,Shinobu Asagoe,Kyung Yee Chae,JPN,KOR,8.0,,,Shinobu Asagoe,Kyung Yee Chae,2,"6-4,6-3",,1997-05-10,,Caboolture 4 10K,,,,,10209,,30445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS017,1997-05-10,R32,Marissa Niroj,Kaori Kuki,THA,JPN,,,6-2,3-6,7-5,,,,W-C40-AUS-03A-1997d,1997,Marissa Niroj,Kaori Kuki,THA,JPN,,,,Marissa Niroj,Kaori Kuki,3,"6-2,3-6,7-5",,1997-05-10,,Caboolture 4 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS019,1997-05-10,R32,Rochelle Rosenfield,Kym Hazzard,AUS,AUS,,,6-2,6-2,,,180289,,W-C40-AUS-03A-1997d,1997,Rochelle Rosenfield,Kym Hazzard,AUS,AUS,,,WC,Rochelle Rosenfield,Kym Hazzard,2,"6-2,6-2",,1997-05-10,,Caboolture 4 10K,,,,,180289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS018,1997-05-10,R32,Melissa Beadman,Sarah Stanley,AUS,AUS,2.0,,6-4,6-4,,,,,W-C40-AUS-03A-1997d,1997,Melissa Beadman,Sarah Stanley,AUS,AUS,2.0,,,Melissa Beadman,Sarah Stanley,2,"6-4,6-4",,1997-05-10,,Caboolture 4 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS013,1997-05-10,R16,Trudi Musgrave,Shelley Stephens,AUS,NZL,1.0,,6-3,6-3,,,130459,190530,W-C40-AUS-03A-1997d,1997,Trudi Musgrave,Shelley Stephens,AUS,NZL,1.0,,,Trudi Musgrave,Shelley Stephens,2,"6-3,6-3",,1997-05-10,,Caboolture 4 10K,,,,,130459,,190530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS012,1997-05-10,R16,Renee Reid,Lana Scardigno,AUS,AUS,7.0,,6-1,6-1,,,,,W-C40-AUS-03A-1997d,1997,Renee Reid,Lana Scardigno,AUS,AUS,7.0,,,Renee Reid,Lana Scardigno,2,"6-1,6-1",,1997-05-10,,Caboolture 4 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS014,1997-05-10,R16,Vanessa Menga,Natalie Dittmann,BRA,AUS,4.0,,6-1,6-1,,,130310,40238,W-C40-AUS-03A-1997d,1997,Vanessa Menga,Natalie Dittmann,BRA,AUS,4.0,,,Vanessa Menga,Natalie Dittmann,2,"6-1,6-1",,1997-05-10,,Caboolture 4 10K,,,,,130310,,40238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS015,1997-05-10,R16,Benjamas Sangaram,Stephanie Hazlett,THA,USA,6.0,,6-3,6-7,6-0,,190306,80296,W-C40-AUS-03A-1997d,1997,Benjamas Sangaram,Stephanie Hazlett,THA,USA,6.0,,,Benjamas Sangaram,Stephanie Hazlett,3,"6-3,6-7,6-0",,1997-05-10,,Caboolture 4 10K,,,,,190306,,80296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS011,1997-05-10,R16,Saori Obata,Tracey Hiete,JPN,USA,5.0,,6-4,6-4,,,150103,,W-C40-AUS-03A-1997d,1997,Saori Obata,Tracey Hiete,JPN,USA,5.0,,,Saori Obata,Tracey Hiete,2,"6-4,6-4",,1997-05-10,,Caboolture 4 10K,,,,,150103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-03A-1997d,1997,Caboolture 4 10K,CC,1997-05-10,,Clay,,,32,,,LS010,1997-05-10,R16,Lisa Mcshea,Robyn Mawdsley,AUS,AUS,3.0,,6-2,7-5,,,130333,,W-C40-AUS-03A-1997d,1997,Lisa Mcshea,Robyn Mawdsley,AUS,AUS,3.0,,,Lisa Mcshea,Robyn Mawdsley,2,"6-2,7-5",,1997-05-10,,Caboolture 4 10K,,,,,130333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
