tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS031,1999-09-06,R32,Seiko Okamoto,Akiko Gunji,JPN,JPN,,,6-2,4-1,,,150145,70397,W-C40-JPN-01A-1999d,1999,Seiko Okamoto,Akiko Gunji,JPN,JPN,,,,Seiko Okamoto,Akiko Gunji,2,"6-2,4-1",,1999-09-06,,Ibaraki 4 10K,,,,,150145,,70397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS030,1999-09-06,R32,Niki Tippins,Kylie Hunt,NZL,AUS,,3,6-4,6-3,,,200292,80256,W-C40-JPN-01A-1999d,1999,Niki Tippins,Kylie Hunt,NZL,AUS,,3,,Niki Tippins,Kylie Hunt,2,"6-4,6-3",,1999-09-06,,Ibaraki 4 10K,,,,,200292,,80256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS027,1999-09-06,R32,Jin Hee Kim,Kate Warne Holland,KOR,GBR,,6,6-7,6-2,6-1,,,,W-C40-JPN-01A-1999d,1999,Jin Hee Kim,Kate Warne Holland,KOR,GBR,,6,LL,Jin Hee Kim,Kate Warne Holland,3,"6-7,6-2,6-1",,1999-09-06,,Ibaraki 4 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS026,1999-09-06,R32,Nami Urabe,Chiaki Nakajima,JPN,JPN,,,7-5,6-2,,,210024,140206,W-C40-JPN-01A-1999d,1999,Nami Urabe,Chiaki Nakajima,JPN,JPN,,,,Nami Urabe,Chiaki Nakajima,2,"7-5,6-2",,1999-09-06,,Ibaraki 4 10K,,,,,210024,,140206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS025,1999-09-06,R32,Orawan Wongkamalasai,Yuki Fujii,THA,JPN,,,6-3,6-2,,,230232,,W-C40-JPN-01A-1999d,1999,Orawan Wongkamalasai,Yuki Fujii,THA,JPN,,,,Orawan Wongkamalasai,Yuki Fujii,2,"6-3,6-2",,1999-09-06,,Ibaraki 4 10K,,,,,230232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS024,1999-09-06,R32,Akiko Morigami,Keiko Taguchi,JPN,JPN,2.0,,6-1,6-1,,,130541,200261,W-C40-JPN-01A-1999d,1999,Akiko Morigami,Keiko Taguchi,JPN,JPN,2.0,,,Akiko Morigami,Keiko Taguchi,2,"6-1,6-1",,1999-09-06,,Ibaraki 4 10K,,,,,130541,,200261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS008,1999-09-06,R16,Kerry Anne Guse,Satoko Kurioka,AUS,JPN,1.0,,6-1,6-1,,,70084,110432,W-C40-JPN-01A-1999d,1999,Kerry Anne Guse,Satoko Kurioka,AUS,JPN,1.0,,,Kerry Anne Guse,Satoko Kurioka,2,"6-1,6-1",,1999-09-06,,Ibaraki 4 10K,,,,,70084,,110432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS009,1999-09-06,R16,Riei Kawamata,Chisayo Ito,JPN,JPN,5.0,,6-1,6-4,,,150087,90097,W-C40-JPN-01A-1999d,1999,Riei Kawamata,Chisayo Ito,JPN,JPN,5.0,,,Riei Kawamata,Chisayo Ito,2,"6-1,6-4",,1999-09-06,,Ibaraki 4 10K,,,,,150087,,90097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS010,1999-09-06,R16,Kyung Yee Chae,Maiko Inoue,KOR,JPN,,4,7-6,6-3,,,30445,90069,W-C40-JPN-01A-1999d,1999,Kyung Yee Chae,Maiko Inoue,KOR,JPN,,4,,Kyung Yee Chae,Maiko Inoue,2,"7-6,6-3",,1999-09-06,,Ibaraki 4 10K,,,,,30445,,90069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS011,1999-09-06,R16,Yoshiko Sasano,Ka Po Tong,JPN,HKG,,,6-4,7-6,,,,200297,W-C40-JPN-01A-1999d,1999,Yoshiko Sasano,Ka Po Tong,JPN,HKG,,,,Yoshiko Sasano,Ka Po Tong,2,"6-4,7-6",,1999-09-06,,Ibaraki 4 10K,,,,,,,200297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS014,1999-09-06,R16,Ayami Takase,Mareze Joubert,JPN,RSA,,8,7-5,6-3,,,200245,100083,W-C40-JPN-01A-1999d,1999,Ayami Takase,Mareze Joubert,JPN,RSA,,8,,Ayami Takase,Mareze Joubert,2,"7-5,6-3",,1999-09-06,,Ibaraki 4 10K,,,,,200245,,100083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1999d,1999,Ibaraki 4 10K,CC,1999-09-06,,Hard,,,32,,,LS015,1999-09-06,R16,Niki Tippins,Seiko Okamoto,NZL,JPN,,,7-6,4-6,7-6,,200292,150145,W-C40-JPN-01A-1999d,1999,Niki Tippins,Seiko Okamoto,NZL,JPN,,,,Niki Tippins,Seiko Okamoto,3,"7-6,4-6,7-6",,1999-09-06,,Ibaraki 4 10K,,,,,200292,,150145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
