tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS053,1990-12-31,R64,Jennifer Santrock,Tracey Morton Rodgers,USA,AUS,,,6-2,6-2,,,,,W-WT-AUS-03A-1990,1991,Jennifer Santrock,Tracey Morton Rodgers,USA,AUS,,,,Jennifer Santrock,Tracey Morton Rodgers,2,"6-2,6-2",,1990-12-31,,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS055,1990-12-31,R64,Tamaka Takagi,Nathalie Herreman,JPN,FRA,,,4-6,7-5,6-4,,,,W-WT-AUS-03A-1990,1991,Tamaka Takagi,Nathalie Herreman,JPN,FRA,,,,Tamaka Takagi,Nathalie Herreman,3,"4-6,7-5,6-4",,1990-12-31,,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS043,1990-12-31,R64,Petra Langrova,Akemi Nishiya,TCH,JPN,,,2-6,6-2,6-2,,,,W-WT-AUS-03A-1990,1991,Petra Langrova,Akemi Nishiya,TCH,JPN,,,,Petra Langrova,Akemi Nishiya,3,"2-6,6-2,6-2",,1990-12-31,,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS040,1990-12-31,R64,Linda Wild,Robin White,USA,USA,,,6-0,2-6,6-3,,,,W-WT-AUS-03A-1990,1991,Linda Wild,Robin White,USA,USA,,,,Linda Wild,Robin White,3,"6-0,2-6,6-3",,1990-12-31,,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS041,1990-12-31,R64,Nicole Bradtke,Louise Field,AUS,AUS,14.0,,6-1,6-1,,,,,W-WT-AUS-03A-1990,1991,Nicole Bradtke,Louise Field,AUS,AUS,14.0,,,Nicole Bradtke,Louise Field,2,"6-1,6-1",,1990-12-31,,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS046,1990-12-31,R64,Natalia Medvedeva,Elna Reinach,UKR,RSA,16.0,,3-6,6-1,6-4,,,,W-WT-AUS-03A-1990,1991,Natalia Medvedeva,Elna Reinach,UKR,RSA,16.0,,,Natalia Medvedeva,Elna Reinach,3,"3-6,6-1,6-4",,1990-12-31,,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS047,1990-12-31,R64,Karin Kschwendt,Rennae Stubbs,AUT,AUS,,,6-4,6-0,,,110053,190117,W-WT-AUS-03A-1990,1991,Karin Kschwendt,Rennae Stubbs,AUT,AUS,,,,Karin Kschwendt,Rennae Stubbs,2,"6-4,6-0",,1990-12-31,,Brisbane,,,,,110053,,190117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS045,1990-12-31,R64,Nanne Dahlman,Jo Anne Faull,FIN,AUS,,,5-7,6-2,6-0,,,,W-WT-AUS-03A-1990,1991,Nanne Dahlman,Jo Anne Faull,FIN,AUS,,,,Nanne Dahlman,Jo Anne Faull,3,"5-7,6-2,6-0",,1990-12-31,,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS038,1990-12-31,R64,Kristin Godridge,Ulrike Priller,HKG,AUT,,,6-1,6-0,,,,,W-WT-AUS-03A-1990,1991,Kristin Godridge,Ulrike Priller,HKG,AUT,,,,Kristin Godridge,Ulrike Priller,2,"6-1,6-0",,1990-12-31,,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS036,1990-12-31,R64,Cristina Tessi,Clare Wood,ARG,GBR,,,6-3,6-3,,,,,W-WT-AUS-03A-1990,1991,Cristina Tessi,Clare Wood,ARG,GBR,,,,Cristina Tessi,Clare Wood,2,"6-3,6-3",,1990-12-31,,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS037,1990-12-31,R64,Stacey Martin,Brenda Schultz Mccarthy,USA,NED,,12.0,6-4,6-0,,,,190038,W-WT-AUS-03A-1990,1991,Stacey Martin,Brenda Schultz Mccarthy,USA,NED,,12.0,,Stacey Martin,Brenda Schultz Mccarthy,2,"6-4,6-0",,1990-12-31,,Brisbane,,,,,,,190038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS034,1990-12-31,R64,Julie Halard Decugis,Anne Minter,FRA,AUS,10.0,,4-6,6-3,6-2,,80005,,W-WT-AUS-03A-1990,1991,Julie Halard Decugis,Anne Minter,FRA,AUS,10.0,,,Julie Halard Decugis,Anne Minter,3,"4-6,6-3,6-2",,1990-12-31,,Brisbane,,,,,80005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-AUS-03A-1990,1991,Brisbane,W,1990-12-31,,Hard,,,56,,,LS035,1990-12-31,R64,Nana Smith,Eugenia Maniokova,JPN,RUS,,,6-2,6-1,,,,,W-WT-AUS-03A-1990,1991,Nana Smith,Eugenia Maniokova,JPN,RUS,,,,Nana Smith,Eugenia Maniokova,2,"6-2,6-1",,1990-12-31,,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
